id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2424,K,0.08291249722242355,0.16788749396800995,-0.01691249944269657,-0.027119355276226997,0.5725655555725098,0.8215802907943726,8
2425,K,0.0030249999836087227,0.15606249868869781,-0.030662499368190765,-0.019471481442451477,0.5681909918785095,0.8018028736114502,8
2426,Y,-0.08208750188350677,0.44591251015663147,0.08428750187158585,-0.03926417604088783,0.6216189861297607,0.7447038888931274,8
2427,Q,-0.020349999889731407,-0.06861250102519989,-0.08937499672174454,-0.04782979190349579,0.5620726943016052,0.8164867758750916,8
2428,P,0.12031249701976776,-0.19112500548362732,0.023649999871850014,0.011624765582382679,0.5418822765350342,0.905095100402832,8
2429,N,0.04138749837875366,0.02186249941587448,-0.011549999937415123,-0.021918801590800285,0.5979564785957336,0.7925183773040771,8
2430,Z,-0.08744999766349792,0.11453749984502792,-0.03396249935030937,-0.03028557263314724,0.5620726943016052,0.8616551160812378,8
2431,U,0.0765874981880188,0.3361875116825104,-0.03712499886751175,-0.041497353464365005,0.611630916595459,0.7944609522819519,8
2432,L,0.03396249935030937,-0.13571250438690186,-0.027499999850988388,-0.021521110087633133,0.5489183664321899,0.8743047118186951,8
2433,K,0.055275000631809235,-0.0387750007212162,-0.004124999977648258,-0.02906191349029541,0.5584017038345337,0.8679875731468201,8
2434,W,-0.06833750009536743,0.16032500565052032,-0.0030249999836087227,-0.016626473516225815,0.563801109790802,0.8379008173942566,8
2435,U,-0.05871250107884407,-0.3104749917984009,0.014024999924004078,-0.03976893424987793,0.5508456230163574,0.9026477336883545,8
2436,K,-0.21422499418258667,-0.16128750145435333,0.05238749831914902,-0.01754421927034855,0.5740951299667358,0.8630928993225098,8
2437,S,0.013749999925494194,-0.02708750031888485,-0.006187499966472387,-0.019073793664574623,0.5786838531494141,0.8074164390563965,8
2438,C,0.14891250431537628,0.35516250133514404,0.07576250284910202,-0.033237650990486145,0.5264794826507568,0.8330062031745911,8
2439,A,-0.008799999952316284,0.010037500411272049,-0.01484999991953373,-0.03905003145337105,0.5296457409858704,0.809343695640564,8
2440,K,0.10848750174045563,0.07397499680519104,0.038362499326467514,-0.00019884466018993407,0.5697205662727356,0.8382067680358887,8
2441,W,0.12127500027418137,-0.2679874897003174,0.011824999935925007,-0.013873239047825336,0.5786838531494141,0.8018028736114502,8
2442,T,-0.11096250265836716,0.05582499876618385,-0.026537500321865082,0.12879015505313873,0.6382455229759216,0.7844728231430054,8
2443,G,0.01677500084042549,0.025987500324845314,0.03203750029206276,-0.04048783332109451,0.5732844471931458,0.8130146861076355,8
2444,J,-0.14300000667572021,-0.21587499976158142,0.005362499970942736,-0.014377998188138008,0.5855210423469543,0.8320884704589844,8
2445,L,-0.13983750343322754,-0.1732500046491623,0.013887500390410423,-0.014882758259773254,0.5681909918785095,0.844325065612793,8
2446,I,0.02213750034570694,-0.1891999989748001,0.021449999883770943,-0.03028557263314724,0.5914404988288879,0.8335109353065491,8
2447,C,-0.07163749635219574,0.1601874977350235,-0.0031624999828636646,0.0414055772125721,0.5564591288566589,0.8286163806915283,8
2448,M,0.1755875051021576,0.3445749878883362,0.005362499970942736,0.009896346367895603,0.5657436847686768,0.8520799875259399,8
2449,O,-0.13983750343322754,-0.05073750019073486,0.01924999989569187,-0.001942559378221631,0.580121636390686,0.8377020359039307,8
2450,I,-0.1120624989271164,-0.14547500014305115,-0.0009624999947845936,-0.03712277114391327,0.5889931917190552,0.7888473868370056,8
2451,K,-0.18878750503063202,-0.2540999948978424,0.014987500384449959,-0.00019884466018993407,0.578898012638092,0.8191329836845398,8
2452,F,-0.01732499897480011,0.23691250383853912,-0.032999999821186066,0.05434577912092209,0.5762365460395813,0.8210754990577698,8
2453,C,-0.03437500074505806,0.201712504029274,0.014987500384449959,0.05486582964658737,0.6065221428871155,0.8205707669258118,8
2454,Q,0.08071249723434448,-0.2424124926328659,0.047987498342990875,-0.07933902740478516,0.5989813208580017,0.8364783525466919,8
2455,R,0.008249999955296516,-0.11357499659061432,0.033137500286102295,0.09218744933605194,0.6075469255447388,0.8203566074371338,8
2456,Z,-0.04386249929666519,0.164450004696846,-0.0009624999947845936,-0.008060856722295284,0.5760377049446106,0.8373960852622986,8
2457,O,0.05087500065565109,0.21353749930858612,0.006462499964982271,-0.017850132659077644,0.5904157161712646,0.7756930589675903,8
2458,Q,0.05719999969005585,-0.06558749824762344,-0.005224999971687794,-0.011731835082173347,0.5750129222869873,0.7993555665016174,8
2459,C,-0.029012499377131462,0.14423750340938568,0.02461249940097332,0.06902968883514404,0.5704241394996643,0.859926700592041,8
2460,O,-0.06311249732971191,-0.08799999952316284,-0.015949999913573265,0.005506467539817095,0.5760377049446106,0.8550320267677307,8
2461,W,-0.05142499879002571,0.11329999566078186,-0.013749999925494194,-0.011930679902434349,0.5652236342430115,0.8308648467063904,8
2462,H,-0.07369999587535858,-0.12099999934434891,-0.018012499436736107,-0.014377998188138008,0.5874636173248291,0.8581982254981995,8
2463,O,0.020075000822544098,0.05582499876618385,0.0010999999940395355,-0.006118297576904297,0.5979564785957336,0.777834415435791,8
