id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
1866,A,0.0085249999538064,-0.027499999850988388,0.025987500324845314,0.011120005510747433,0.50965416431427,0.8487149477005005,7
1867,K,0.025575000792741776,0.03437500074505806,-0.03368749842047691,0.010202260687947273,0.5483983159065247,0.8469712138175964,7
1868,T,0.08524999767541885,-0.11371249705553055,-0.0038499999791383743,0.06557285040616989,0.5706382989883423,0.8221004009246826,7
1869,F,-0.023375000804662704,0.008799999952316284,0.0035749999806284904,0.011425920762121677,0.5110766887664795,0.8420765995979309,7
1870,S,-0.0042624999769032,-0.023237500339746475,-0.014437500387430191,0.004083963576704264,0.5410563349723816,0.8627869486808777,7
1871,X,-0.0009624999947845936,0.042899999767541885,-0.02199999988079071,0.009177446365356445,0.549927830696106,0.8555368781089783,7
1872,N,-0.020212499424815178,-0.1073874980211258,0.004674999974668026,-0.013460253365337849,0.530563473701477,0.8415718078613281,7
1873,U,0.040562499314546585,0.08868750184774399,0.006737499963492155,-0.046391990035772324,0.5745081305503845,0.8269949555397034,7
1874,I,0.028875000774860382,0.05348749831318855,0.01746249943971634,-0.021918801590800285,0.5730856657028198,0.7830349802970886,7
1875,B,0.06407500058412552,-0.0625625029206276,0.01746249943971634,-0.027333494275808334,0.5592123866081238,0.8273926973342896,7
1876,M,-0.002062499988824129,0.0929500013589859,0.004674999974668026,0.004588723182678223,0.5530940890312195,0.8394303917884827,7
1877,Y,0.033137500286102295,-0.06476250290870667,0.048262499272823334,-0.09717386215925217,0.6184528470039368,0.7634564638137817,7
1878,W,0.023512499406933784,-0.08607500046491623,0.020624998956918716,-0.00856561679393053,0.571861982345581,0.8371819257736206,7
1879,N,-0.005224999971687794,-0.003987499978393316,-0.045375000685453415,0.022331785410642624,0.5438095331192017,0.891435980796814,7
1880,A,-0.0009624999947845936,0.05348749831318855,-0.002749999985098839,0.0,0.5515645146369934,0.850642204284668,7
1881,U,-0.027637500315904617,0.029012499377131462,-0.018837500363588333,-0.017850132659077644,0.5757318139076233,0.8503362536430359,7
1882,S,-0.0765874981880188,0.05238749831914902,-0.03368749842047691,0.011823609471321106,0.5792039632797241,0.8249453902244568,7
1883,J,0.08744999766349792,0.018424998968839645,-0.026262499392032623,-0.00244731898419559,0.5520693063735962,0.7937420010566711,7
1884,P,-0.06379999965429306,-0.08071249723434448,0.008937500417232513,0.011120005510747433,0.5982624292373657,0.8269949555397034,7
1885,I,-0.01484999991953373,0.10353749990463257,0.0057749999687075615,-0.005093482788652182,0.5804275870323181,0.810567319393158,7
1886,O,-0.03506249934434891,0.035475000739097595,0.002474999986588955,-0.003869823180139065,0.5938878655433655,0.786614179611206,7
1887,Q,-0.019112499430775642,-0.09982500225305557,-0.009212499484419823,0.0025543891824781895,0.5869435667991638,0.810567319393158,7
1888,E,-0.015949999913573265,0.014162499457597733,0.0004124999977648258,0.021918801590800285,0.5850163102149963,0.8247464895248413,7
1889,A,-0.015812499448657036,0.042899999767541885,0.010999999940395355,-0.009483360685408115,0.5636022686958313,0.8420765995979309,7
1890,L,-0.0765874981880188,0.06201250106096268,0.021724998950958252,0.014989827759563923,0.5862399339675903,0.8047549724578857,7
1891,N,0.030937500298023224,-0.05623750016093254,-0.04221250116825104,-0.026614593341946602,0.5704241394996643,0.8373960852622986,7
1892,U,0.09267500042915344,-0.005087499972432852,0.01209999993443489,-0.04883930832147598,0.6126404404640198,0.757139265537262,7
1893,J,-0.08401250094175339,-0.17338749766349792,-0.006049999967217445,-0.021215196698904037,0.5818501114845276,0.8203566074371338,7
1894,T,0.014987500384449959,0.11948750168085098,0.016362499445676804,0.08554909378290176,0.6042889356613159,0.811286211013794,7
1895,Q,-0.06173750013113022,-0.043449997901916504,-0.024062499403953552,-0.06129004433751106,0.5652236342430115,0.8454416990280151,7
1896,C,0.01718750037252903,-0.16706250607967377,0.008937500417232513,-0.04415880888700485,0.6070421934127808,0.817404568195343,7
1897,G,-0.0340999998152256,0.12278749793767929,0.035612501204013824,-0.03518021106719971,0.5818501114845276,0.8235228061676025,7
1898,U,0.03739999979734421,0.12484999746084213,0.060087498277425766,-0.03926417604088783,0.6084647178649902,0.7788592576980591,7
1899,J,0.14492499828338623,0.19951249659061432,0.07177499681711197,-0.06251370906829834,0.5916393399238586,0.8044490218162537,7
1900,V,0.010724999941885471,0.023649999871850014,-0.01347499992698431,0.0895259827375412,0.5545165538787842,0.907037615776062,7
1901,U,-0.07342500239610672,-0.25011250376701355,0.050462499260902405,-0.053229186683893204,0.6131604313850403,0.7974130511283875,7
1902,M,0.05431250110268593,0.11110000312328339,0.002474999986588955,0.013047270476818085,0.5599312782287598,0.8279126882553101,7
